error_rate,ntrees,seq,select_policy,exp_type,npublishers,nsubscribers,topo,reroute_policy,const_alg,fprob,treatment,reachability,rcv_rate
0.0,4,0,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.0,final_results/results/fprob/outputs_4t_0.00f_20s_10p_red-blue_disjoint_topo_0.00e_importance,1.0,1.0
0.0,4,1,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.0,final_results/results/fprob/outputs_4t_0.00f_20s_10p_red-blue_disjoint_topo_0.00e_importance,0.7,1.0
0.0,4,2,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.0,final_results/results/fprob/outputs_4t_0.00f_20s_10p_red-blue_disjoint_topo_0.00e_importance,1.0,1.0
0.0,4,3,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.0,final_results/results/fprob/outputs_4t_0.00f_20s_10p_red-blue_disjoint_topo_0.00e_importance,1.0,1.0
0.0,4,4,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.0,final_results/results/fprob/outputs_4t_0.00f_20s_10p_red-blue_disjoint_topo_0.00e_importance,1.0,0.998888888889
0.0,4,0,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.05,final_results/results/fprob/outputs_4t_0.05f_20s_10p_red-blue_disjoint_topo_0.00e_importance,1.0,0.998888888889
0.0,4,1,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.05,final_results/results/fprob/outputs_4t_0.05f_20s_10p_red-blue_disjoint_topo_0.00e_importance,0.450555555556,0.993333333333
0.0,4,2,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.05,final_results/results/fprob/outputs_4t_0.05f_20s_10p_red-blue_disjoint_topo_0.00e_importance,0.868888888889,0.793333333333
0.0,4,3,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.05,final_results/results/fprob/outputs_4t_0.05f_20s_10p_red-blue_disjoint_topo_0.00e_importance,0.79,0.74
0.0,4,4,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.05,final_results/results/fprob/outputs_4t_0.05f_20s_10p_red-blue_disjoint_topo_0.00e_importance,0.79,0.74
0.0,4,0,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,final_results/results/fprob/outputs_4t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_importance,1.0,1.0
0.0,4,1,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,final_results/results/fprob/outputs_4t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_importance,0.218333333333,0.99
0.0,4,2,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,final_results/results/fprob/outputs_4t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_importance,0.706666666667,0.597777777778
0.0,4,3,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,final_results/results/fprob/outputs_4t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_importance,0.601666666667,0.521111111111
0.0,4,4,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,final_results/results/fprob/outputs_4t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e_importance,0.601666666667,0.52
0.0,4,0,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.2,final_results/results/fprob/outputs_4t_0.20f_20s_10p_red-blue_disjoint_topo_0.00e_importance,1.0,0.998888888889
0.0,4,1,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.2,final_results/results/fprob/outputs_4t_0.20f_20s_10p_red-blue_disjoint_topo_0.00e_importance,0.0988888888889,0.988888888889
0.0,4,2,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.2,final_results/results/fprob/outputs_4t_0.20f_20s_10p_red-blue_disjoint_topo_0.00e_importance,0.404444444444,0.304444444444
0.0,4,3,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.2,final_results/results/fprob/outputs_4t_0.20f_20s_10p_red-blue_disjoint_topo_0.00e_importance,0.342777777778,0.26
0.0,4,4,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.2,final_results/results/fprob/outputs_4t_0.20f_20s_10p_red-blue_disjoint_topo_0.00e_importance,0.342777777778,0.26
0.0,4,0,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.3,final_results/results/fprob/outputs_4t_0.30f_20s_10p_red-blue_disjoint_topo_0.00e_importance,1.0,1.0
0.0,4,1,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.3,final_results/results/fprob/outputs_4t_0.30f_20s_10p_red-blue_disjoint_topo_0.00e_importance,0.0122222222222,0.99
0.0,4,2,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.3,final_results/results/fprob/outputs_4t_0.30f_20s_10p_red-blue_disjoint_topo_0.00e_importance,0.156666666667,0.112222222222
0.0,4,3,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.3,final_results/results/fprob/outputs_4t_0.30f_20s_10p_red-blue_disjoint_topo_0.00e_importance,0.134444444444,0.104444444444
0.0,4,4,importance,mininet,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.3,final_results/results/fprob/outputs_4t_0.30f_20s_10p_red-blue_disjoint_topo_0.00e_importance,0.134444444444,0.104444444444
